phot_table_file time
190926_phot.dat 59235.09005787037
193111_phot.dat 59235.10513888889
192901_phot.dat 59235.10364583333
190715_phot.dat 59235.08851851852
194806_phot.dat 59235.117118055554
195034_phot.dat 59235.11861111111
195246_phot.dat 59235.120150462964
190444_phot.dat 59235.087013888886
192630_phot.dat 59235.1021412037
