id xcenter ycenter aperture_sum annulus_median aper_bkg aper_sum_bkgsub SNR err
1 1591.3189589056303 1321.4068408642554 380.0309624317549 4.399742577394244 345.5549739706995 42.53359788313327 2.2987371450711116 18.5030280536131
2 1270.036631336604 1187.9633720551751 459.25768760575477 5.646030373210659 443.4381885605861 25.556913720896148 1.2207540395786964 20.93535052295734
3 1197.8293639211129 1245.4907213090012 482.58412841014007 6.212710978899107 487.9451792546522 4.870942872897274 0.22191678393969932 21.949411785909977
4 1106.631168430306 1377.0429256600496 nan nan nan nan nan nan
5 1631.0666451976458 944.3228815856091 337.985016126908 4.374799424010253 343.59594328498673 1.5552027620705076 0.08433911637978472 18.439874981228456
6 1596.147098847508 1055.266514742044 358.32810027121195 4.423978578261891 347.45846502765437 18.467089562714705 0.9956930244521729 18.546970912922923
7 1741.6101944601573 711.2580175508333 367.5796549081002 4.257855272673645 334.4111711170022 40.96209426904301 2.2501010152274628 18.204557925103707
8 1219.396538719329 1376.1118154195615 nan nan nan nan nan nan
9 1205.7557932254738 425.0335483257477 349.6256724365897 4.525526455591403 355.43401666280516 1.6045967994286343 0.08556766756054299 18.752372773200925
10 1119.9097189016065 475.70318045799394 365.6379735839301 4.491279004970355 352.74422818092364 20.646187367648736 1.1048466325155766 18.686926094566033
11 1461.1368189503346 564.4761485652937 350.77828075059904 4.3692324719255105 343.15871589067893 15.056944072262183 0.8168961427582134 18.431895175099104
12 1064.2290827892848 971.6928159699148 438.1754076191956 5.6852136011926415 446.5156320898894 0.9501930004596488 0.04524399733360176 21.00152631195477
13 1314.6589802796348 420.55718064783935 370.2678303367004 4.461573106066867 350.4111323368366 27.707304538137862 1.4874461063136681 18.627434244864688
14 1198.7904113002453 439.2402612618903 346.5787087436495 4.478189973631928 351.7162180635384 2.2108284344747062 0.11851154862311959 18.654961986071044
15 1101.369748006954 701.1804180606364 357.8795464540046 4.593431421405874 360.76726020643036 4.700230100950591 0.24879101212184343 18.892282566255613
16 1032.7725712915305 58.34995569694115 349.58323802393556 4.430019341917756 347.9329054957378 9.062373837879136 0.4883536620881724 18.55698961922174
17 1258.4853482128076 176.4554962867844 390.91142431690196 5.081094212075331 399.06820622133694 0.13152059496826496 0.006621925448636351 19.861382612718618
18 1117.1652995599743 911.9179648024585 395.78972273757563 5.123018543378532 402.360935502057 1.820521894940157 0.09128616996144694 19.943019799264462
19 1167.2504226011715 294.48421409950447 364.22527498059264 4.693241431111603 368.6063200375865 3.3414441545780846 0.17499491906471487 19.09452098630581
20 1516.7299954213747 113.10021209560125 342.5328875605212 4.339819060856888 340.84859198742384 8.946851772514435 0.4870729761522175 18.368606370225745
21 1179.486341915275 520.5785452971184 515.3858742872144 4.61829705123186 362.7202022061354 163.59314506930485 8.617036046235189 18.984850961692246
22 1277.8100720078728 146.16195677162932 366.9869866958273 4.747518924329134 372.8692643862731 1.8987667351416917 0.09887647486668927 19.203422631133584
23 1475.9007240802202 371.3045649886154 373.95333409659594 4.4436500463988615 349.0034585222652 32.87862403459667 1.7684577989578187 18.591692747190564
24 1294.5007892982094 504.63186893902787 352.26402138845833 4.447853439980478 349.33359228216904 10.399309746004008 0.559272154902804 18.594363504135664
25 1235.56197429669 159.74813372127545 425.0448726167127 5.167741493942233 405.87346782550156 28.183421992355193 1.406648273127148 20.035870039992346
26 1123.6045461244003 837.8332631428821 394.70594527115725 4.807161505387086 377.553581748593 25.521119381866527 1.3203604825559043 19.32890276484472
27 1528.9992868484417 109.60600778714411 335.572891763312 4.355490438323025 342.07941909540506 0.6084595025691897 0.03306988332785364 18.399203182452865
28 1287.7685195245858 643.3347593547194 354.55248592285034 4.431793157523431 348.07222064762806 13.997667101938191 0.7541032300787287 18.5620039055884
29 1317.0704558496395 370.75955341570125 346.4309236574345 4.487641390008612 352.4585305699136 1.3175974274503233 0.07055693043562121 18.67424531247924
30 955.9763314434879 206.43329471961607 344.5674801146646 4.316924045886026 339.05042171651667 12.822753061940261 0.6998728101215246 18.321547681947727
31 1111.5352951317577 513.6840833660859 346.6403867101478 4.551743189125446 357.493074099597 -3.5030419075235386 -0.1862840908550229 18.804836695634997
32 1029.1429514816593 1199.8020950698499 623.7452559240647 7.813092214845209 613.638827599433 23.331391940623007 0.9482733075326186 24.604079599509824
33 993.1815609215639 237.59641505904563 356.4514756344151 4.379274507843567 343.94741554736015 20.06172525782688 1.0871063345470688 18.454243729694927
34 1091.3495957036325 1200.687687089752 898.0212926743503 11.709632843900437 919.6724129657842 -2.6108168835799006 -0.08676017423484118 30.09234255930583
35 986.1797913648174 373.03930548259757 334.8354539024798 4.3322615536015165 340.25502675560074 1.6797784495898895 0.09153728159526511 18.350757421627193
36 1107.9502543679323 1214.8581628440934 1166.6417726475888 10.153661539084881 797.4667124556574 393.9107914053136 14.018806752663176 28.098738955116968
37 1111.3223606621762 627.0802806410741 356.7385132868026 4.5562226626090325 357.8448911242966 6.457373251324043 0.34317309900412823 18.81666503016416
38 1370.6315953203834 297.2536934029915 345.46171003380084 4.508089145150555 354.06449350332184 -1.278128888947606 -0.0682917338560758 18.71571882537425
39 1455.7887006717947 844.7972854288453 378.4446645106176 4.556558282220487 357.87125062694025 28.59738981180567 1.5192601269332269 18.82323461587336
40 1065.0908381211227 994.266375922516 460.4247704286704 5.872258566847358 461.2061093396847 8.980820847298276 0.4207654004506423 21.34400983940163
41 1079.6723691617085 899.870901063708 398.65473523678384 5.096287223580957 400.26146255463647 6.845752791256132 0.3441366900531171 19.89253976435787
